구분,23년 연평균,23년 1월,23년 2월,23년 3월,23년 4월,23년 5월,23년 6월,23년 7월,23년 8월,23년 9월,23년 10월,23년 11월,23년 12월,24년 연평균,24년 1월,24년 2월,24년 3월,24년 4월,24년 5월,24년 6월,24년 7월,24년 8월,24년 9월,24년 10월
전체,567990,565973,564226,558476,568481,556087,574441,566872,560969,559138,538740,583152,618934,631472,599931,457998,642593,731631,725208,733815,745203,738915,701379,728507
종로구,19731,18216,19831,19953,20422,19711,20335,19343,19447,19478,19594,20498,19992,22379,20210,15157,22667,27221,26640,26926,26430,26409,24945,27575
중구,24847,22124,24296,24757,25329,24585,25904,24689,24756,24661,24999,26505,25594,29124,26036,19619,29566,35806,34594,35142,35340,35323,32705,36417
용산구,26336,24258,25926,25347,26045,25620,27057,26628,27051,26500,26281,27210,28158,30498,27897,21332,31320,36180,35759,36998,36664,37514,35413,37727
성동구,17418,16864,17164,17033,17557,17080,17565,17400,17366,17358,16671,17912,19045,19288,18116,13673,19622,22673,22355,22645,22865,22799,21531,22822
광진구,19931,20616,19585,19272,19887,19794,20019,20050,20004,19786,18972,19916,21239,21360,20269,15847,21534,24521,24629,24869,24670,24956,24088,24365
동대문구,17559,18096,17204,17308,17640,17454,17693,17360,17218,17540,16444,17859,18858,18781,17624,14300,19258,21173,21552,21322,21384,21375,20836,21084
중랑구,16218,17628,15836,15617,16139,16009,16054,16382,16071,16243,15136,16100,17346,16654,16050,12860,16835,18626,18897,18749,19108,18973,18674,18448
성북구,13643,13505,12996,13534,13815,14084,13905,13341,13052,13732,12961,14091,14630,14828,13483,10866,15217,17041,17535,17058,16605,16725,16951,17156
강북구,11479,12432,11243,11044,11428,11227,11438,11631,11398,11449,10712,11344,12371,12173,11490,9532,12308,13695,13842,13922,13995,14094,13815,13573
도봉구,9832,10664,9471,9304,9618,9476,9743,9931,9680,9893,9190,10048,10924,10942,10229,8968,11145,12171,12195,12203,12687,12550,12199,12152
노원구,18659,20345,18181,17968,18348,18225,18435,18605,18275,18659,17247,18995,20549,20172,18969,16797,20686,22032,22377,22108,22738,22523,22163,21931
은평구,14413,15154,14019,13790,14149,13928,14253,14420,14272,14385,13510,14787,16237,16446,15868,12964,16748,18370,18282,18506,19043,18930,18261,18090
서대문구,13770,13352,13502,13696,13899,13830,13961,13420,13432,13692,12976,14401,15063,15317,14512,10757,15701,17669,17945,17579,17385,17363,16855,17422
마포구,31309,30264,31102,30401,30954,30044,31559,31794,31583,30966,29948,32392,34716,35064,33694,23549,35522,41371,41182,42186,42802,43195,40680,41758
양천구,13051,13661,12998,12721,12877,12652,12959,13159,12918,12757,12061,13254,14570,14327,14107,10485,14521,16278,16245,16404,17105,16791,15974,16077
강서구,24481,24931,23864,23545,24254,23640,24554,24581,24302,24285,23069,25081,27599,26899,26175,18685,27299,31356,30981,31562,32524,31986,30683,31112
구로구,15220,15778,14888,14821,15109,14771,15340,15505,15186,15104,14056,15270,16781,16640,16125,12769,17128,18672,18506,18985,19605,19293,18282,18199
금천구,9847,10125,9766,9722,9858,9596,9895,9945,9809,9681,9009,9873,10865,10637,10590,7960,10843,11944,11846,12040,12495,12245,11625,11773
영등포구,31513,30955,31942,31762,31712,30533,31631,31168,31115,30860,29565,32729,34233,35627,34574,25699,36337,41438,40086,40934,42227,41642,38375,40198
동작구,11177,11041,11066,11125,11216,11070,11278,10921,10849,10969,10621,11517,12431,12425,11976,8974,12700,14201,14273,14305,14123,13948,13550,14201
관악구,18211,18407,18064,18270,18401,18050,18251,17999,17724,17939,17041,18331,20012,19665,19148,13969,20212,22310,22688,22685,22679,22428,22041,22235
서초구,31776,30818,32832,32073,31892,31218,32511,31877,31443,30228,30465,32511,33527,35392,34153,24975,35633,41497,40700,41167,41821,41220,37621,40583
강남구,70390,67272,73056,71152,70770,68384,72031,71048,69800,67150,66440,73210,74642,79634,76342,55989,81483,93314,91043,92700,95483,93198,84086,91234
송파구,34684,35029,34304,33467,34377,33247,35026,34966,34261,33724,32686,36015,39054,38633,37102,28297,38961,44822,43982,44841,46016,45590,42630,44023
강동구,18606,19894,18393,18006,18295,17778,18415,18727,18544,18311,17370,18902,20600,20872,19750,16222,21261,23629,23497,23721,24876,24451,23308,23578
기타,33889,34544,32697,32788,34490,34081,34629,31982,31413,33788,31716,34401,39898,37695,35442,27750,38087,43620,43576,44257,44534,43395,44087,44774
